ticker,name,exchange
SYK,Stryker Corporation,XNYS
SYY,Sysco,XNAS
T,AT&T,XNYS
TAP,Molson Coors Beverage Company,XNYS
TDG,TransDigm Group,XNYS
TDY,Teledyne Technologies,XNYS
TECH,Bio-Techne,XNAS
TEL,TE Connectivity,XNAS
TER,Teradyne,XNAS
TFC,Truist Financial,XNAS
TGT,Target Corporation,XNAS
TJX,TJX Companies,XNAS
TKO,TKO Group Holdings,XNYS
TMO,Thermo Fisher Scientific,XNAS
TMUS,T-Mobile US,XNAS
TPL,Texas Pacific Land Corporation,XNYS
TPR,"Tapestry, Inc.",XNAS
TRGP,Targa Resources,XNYS
TRMB,Trimble Inc.,XNAS
TROW,T. Rowe Price,XNAS
TRV,Travelers Companies (The),XNYS
TSCO,Tractor Supply,XNAS
TSLA,"Tesla, Inc.",XNAS
TSN,Tyson Foods,XNYS
TT,Trane Technologies,XNAS
TTD,Trade Desk (The),XNAS
TTWO,Take-Two Interactive,XNAS
TXN,Texas Instruments,XNAS
TXT,Textron,XNYS
TYL,Tyler Technologies,XNAS
UAL,United Airlines Holdings,XNAS
UBER,Uber,XNAS
UDR,"UDR, Inc.",XNYS
UHS,Universal Health Services,XNYS
ULTA,Ulta Beauty,XNAS
UNH,UnitedHealth Group,XNYS
UNP,Union Pacific Corporation,XNYS
UPS,United Parcel Service,XNYS
URI,United Rentals,XNYS
USB,U.S. Bancorp,XNYS
V,Visa Inc.,XNAS
VEEV,Veeva Systems,XNAS
VICI,Vici Properties,XNAS
VLO,Valero Energy,XNYS
VLTO,Veralto,XNAS
VMC,Vulcan Materials Company,XNYS
VRSK,Verisk Analytics,XNAS
VRSN,Verisign,XNAS
VRT,Vertiv,XNAS
VRTX,Vertex Pharmaceuticals,XNAS
VST,Vistra Corp.,XNAS
VTR,Ventas,XNYS
VTRS,Viatris,XNAS
VZ,Verizon,XNYS
WAB,Wabtec,XNYS
WAT,Waters Corporation,XNAS
WBD,Warner Bros. Discovery,XNYS
WDAY,"Workday, Inc.",XNAS
WDC,Western Digital,XNAS
WEC,WEC Energy Group,XNYS
WELL,Welltower,XNYS
WFC,Wells Fargo,XNYS
WM,Waste Management,XNAS
WMB,Williams Companies,XNYS
WMT,Walmart,XNYS
WRB,W. R. Berkley Corporation,XNYS
WSM,"Williams-Sonoma, Inc.",XNYS
WST,West Pharmaceutical Services,XNYS
WTW,Willis Towers Watson,XNAS
WY,Weyerhaeuser,XNYS
WYNN,Wynn Resorts,XNAS
XEL,Xcel Energy,XNAS
XOM,ExxonMobil,XNYS
XYL,Xylem Inc.,XNYS
XYZ,"Block, Inc.",XNYS
YUM,Yum! Brands,XNAS
ZBH,Zimmer Biomet,XNYS
ZBRA,Zebra Technologies,XNAS
ZTS,Zoetis,XNAS
